,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,opex,p_eb,p_fc,p_pur,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,t_de,soc_b,p_eb_UP,p_eb_LOW,g_eb_UP,g_eb_LOW,p_fc_UP,p_fc_LOW,g_fc_UP,g_fc_LOW,p_b_UP,p_b_LOW,p_pv_UP,p_pv_LOW,g_hp_UP,g_hp_LOW,t_ht_l_UP,t_ht_l_LOW,t_de_l_UP,t_de_l_LOW,soc_b_l_UP,soc_b_l_LOW,h_fc_UP,h_fc,h_fc_LOW,g_balance_SA_RHSUP,g_balance_RHS,g_balance_SA_RHSLOW,p_balance_SA_RHSUP,p_balance_RHS,p_balance_SA_RHSLOW,g_load_UP,g_load_LOW,p_load_UP,p_load_LOW,etm
0,0,0,1883.735,271.624,0,12.027,16.023,0.82,45,47,0,0.95,0,717.179,2800,0,3580.526,210.526,0.2,0,2296,930.349,-1252.614,0,3.101,630.349,9.108,6.857,9.415,48.523,47,200,2800,2800,2296,2296,0,0,345.348,0,210.526,210.526,0,0,930.349,930.349,45,45,47,47,0,0,0,0,0,955.762,916.235,570.887,inf,570,289.474,1923.262,1538.387,inf,-10.526,1
1,1,0,1884.088,270.759,0,12.027,16.023,0.82,48.523,47,199.999,0.95,1,612.975,2790.285,0,3060.285,0,0.2,0,2288.033,0,-313.946,0,3.138,0,9.415,9.415,9.415,49.361,47,199.999,2790.285,2790.285,2288.033,2288.033,0,0,799.293,0,0,0,0,0,0,0,48.523,48.523,47,47,199.999,199.999,0,0,0,924.554,916.588,-1371.446,579.716,270,-2790.285,1892.054,-403.946,579.716,-2790.285,2
2,2,0,1943.5,272.487,0,12.027,16.023,0.82,49.361,47,199.999,0.95,1,614.921,2800,0,3070,0,0.2,0,2296,0,-262.5,0,3.096,0,9.063,9.063,9.063,50.052,47,199.999,2800,2800,2296,2296,0,0,156.045,0,0,0,0,0,0,0,49.361,49.361,47,47,199.999,199.999,0,0,0,1651.752,976,819.955,570,270,-2800,2619.252,1787.455,570,-2800,2
3,3,0,1853.149,274.092,0,12.027,16.023,0.82,50.052,47,199.999,0.95,1,614.921,2800,0,3070,0,0.2,0,2296,0,-352.851,0,3.118,0,9.244,9.244,9.244,50.999,47,199.999,2800,2800,2296,2296,0,0,202.604,0,0,0,0,0,0,0,50.052,50.052,47,47,199.999,199.999,0,0,0,1560.299,885.649,683.045,570,270,-2800,2527.799,1650.545,570,-2800,1
3.4,3,0.4,1853.149,274.092,0,12.027,16.023,0.82,50.431,47,199.999,0.001,1,614.921,2800,0,3070,0,0.2,0,2296,0,-352.851,0,3.118,0,9.244,9.244,9.244,51.378,47,199.999,2800,2800,2296,2296,0,0,70.104,0,0,0,0,0,0,0,50.431,50.431,47,47,199.999,199.999,0,0,0,1692.799,885.649,815.546,570,270,-2800,2660.299,1783.046,570,-2800,2
4,4,0,1896.469,275.599,0,12.027,16.023,0.82,50.999,47,199.999,0.001,1,614.921,2800,0,3070,0,0.2,0,2296,0,-309.531,0,3.127,0,9.318,9.318,9.318,51.822,47,199.999,2800,2800,2296,2296,0,0,296.327,0,0,0,0,0,0,0,50.999,50.999,47,47,199.999,199.999,0,0,0,1509.144,928.969,632.642,570,270,-2800,2476.644,1600.142,570,-2800,2
4.7,4,0.7,1896.469,275.599,0,12.027,16.023,0.82,51.575,47,199.999,0.95,1,614.921,2800,0,3070.001,0.001,0.2,0,2296,0,-309.531,0,3.127,0,9.318,9.318,9.318,52.397,47,200,2800,2800,2296,2296,0,0,94.948,0,0.001,0.001,0,0,0,0,51.575,51.575,47,47,199.999,199.999,0,0,0,1710.523,928.969,834.021,569.999,270,-2800.001,2678.023,1801.521,569.999,-2800.001,2
5,5,0,1814.56,276.033,0,12.027,16.023,0.82,51.822,47,199.999,0.95,1,614.921,2800,0,3070,0,0.2,0,2296,0,-391.44,0,3.132,0,9.359,9.359,9.359,52.878,47,199.999,2800,2800,2296,2296,0,0,309.239,0,0,0,0,0,0,0,51.822,51.822,47,47,199.999,199.999,0,0,0,1413.571,847.06,537.821,570.001,270,-2800,2381.071,1505.321,570.001,-2800,2
6,6,0,1948.083,272.559,0,12.027,16.023,0.82,52.878,47,199.999,0.95,1,675.011,2800,0,3370.001,0.001,0.2,0,2296,926.268,-765.328,0,3.088,626.268,8.996,6.759,9.301,55,49.393,200,2800,2800,2296,2296,0,0,93.252,0,0.001,0.001,0,0,926.268,926.268,52.878,52.878,47,47,199.999,199.999,0,0,0,1399.44,980.583,524.44,inf,570,499.999,2366.94,1491.94,inf,199.999,2
7,7,0,1835.609,279.209,31.301,12.027,16.023,0.82,55,49.393,200,0.95,2,699.64,801.35,0,1340.049,0,0.522,0,657.107,926.897,-23.4,0,3.09,626.897,9.013,6.774,9.318,55,47,200,801.35,801.35,657.107,657.107,0,0,657.107,0,0,0,31.301,31.301,926.897,926.897,55,55,49.393,49.393,200,200,0,0,0,2507.002,868.109,211.002,2577.97,570,-770.049,3474.502,1178.502,2277.97,-1070.049,2
8,8,0,1913.283,250.739,227.76,12.027,16.023,0.82,55,47,200,0.95,3,226.826,0,152.241,0,-190,0.844,202.808,0,924.365,876.11,12.658,3.081,624.365,8.943,6.713,9.247,52.432,47,0,0,0,47.271,0,152.241,152.241,202.808,202.808,-190,-190,227.76,227.76,924.365,924.365,55,55,47,47,200,200,12.658,12.658,12.658,1231.227,945.783,821.715,663.133,570,417.759,2198.727,1789.215,363.133,117.759,2
9,9,0,1868.726,229.458,400.369,12.027,16.023,0.82,52.432,47,0.001,0.95,4,193.139,0,129.63,0,-0.001,0.844,172.688,0,909.344,876.694,10.778,3.031,609.344,8.529,6.353,8.826,49.866,47,0,0,0,86.446,0,129.63,129.63,172.688,172.688,-0.001,-0.001,400.369,400.369,909.344,909.344,52.432,52.432,47,47,0.001,0.001,10.778,10.778,10.778,975.077,901.226,674.341,700.314,530,474.563,1942.577,1641.841,400.314,174.563,2
10,10,0,1909.113,230.926,374.648,12.027,16.023,0.82,49.866,47,0.001,0.95,5,501.232,181.063,336.415,0,0,0.844,448.158,148.472,901.001,501.483,27.971,3.003,601.001,8.299,6.152,8.592,48.376,47,0.001,181.063,181.063,148.472,148.472,336.415,336.415,448.158,448.158,0,0,374.648,374.648,901.001,901.001,49.866,49.866,47,47,0.001,0.001,27.971,27.971,27.971,1508.888,941.613,551.937,822.516,530,-352.949,2476.388,1519.437,522.516,-652.949,2
11,11,0,1295.852,225.64,442.788,12.027,16.023,0.82,48.376,47,0.001,0.95,6,222.39,62.051,149.263,0,0,0.844,198.841,50.882,895.267,240.862,12.41,2.984,595.267,8.141,6.015,8.431,47.636,47,0.001,62.051,62.051,50.882,50.882,149.263,149.263,198.841,198.841,0,0,442.788,442.788,895.267,895.267,48.376,48.376,47,47,0.001,0.001,12.41,12.41,12.41,1298.408,328.352,194.808,630.246,530,138.248,2265.908,1162.308,330.246,-161.752,2
11.3,11,0.3,1295.852,225.64,0.001,12.027,16.023,0.82,48.154,47,0.001,0.95,6.3,789.654,0,529.998,0,-0.001,0.844,706.04,0,895.267,-215.455,44.066,2.984,595.267,8.141,6.015,8.431,48.717,47,0,0,0,57.402,0,529.998,529.998,706.04,706.04,-0.001,-0.001,0.001,0.001,895.267,895.267,48.154,48.154,47,47,0.001,0.001,44.066,44.066,44.066,745.777,328.352,110.631,600.002,530,216.654,1713.277,1078.131,300.002,-83.346,2
11.7,11,0.7,1295.852,225.64,442.788,12.027,16.023,0.82,48.379,47,0.001,0.95,6.7,222.022,61.805,149.016,0,0,0.844,198.513,50.68,895.267,241.392,12.39,2.984,595.267,8.141,6.015,8.431,47.637,47,0.001,61.805,61.805,50.68,50.68,149.016,149.016,198.513,198.513,0,0,442.788,442.788,895.267,895.267,48.379,48.379,47,47,0.001,0.001,12.39,12.39,12.39,1298.939,328.352,195.339,629.848,530,138.895,2266.439,1162.839,329.848,-161.105,2
