,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,,p_eb,p_fc,,p_pur,,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,,t_de,,soc_b,,,,,,etm
19,13,0,1295.830915,245.7001197,448.7438537,12.0275,16.0225,0.82,47.49538071,47,199.99905,0.95,8,,502.0865051,0,,583.3436514,,0.000999991,0.5221,0,411.7109342,887.4283554,86.69162505,,0,2.958094518,587.4283554,7.92468584,5.826727428,8.210771078,47.19755146,,47,,200,,,,,,2
20,14,0,1221.182595,215.7710368,458.0285429,12.0275,16.0225,0.82,47.19755146,47,199.999525,0.95,9,,478.1681005,0,,550.1400576,,0.000499998,0.5221,0,392.0978424,884.5132469,34.57150542,,0,2.94837749,584.5132469,7.844313398,5.756766087,8.12897894,47.0506064,,47,,200,,,,,,2
21,14,0.5,1621.182595,315.7710368,458.0285429,12.0275,16.0225,0.82,47.12407893,47,199.9996042,0.95,9.5,,981.6530916,0,,1053.624965,,0.000416665,0.5221,0,804.9555351,884.5132469,21.7138127,,0,2.94837749,584.5132469,7.844313398,5.756766087,8.12897894,47.01393311,,47,,200,,,,,,2
22,15,0,1633.045934,341.4601269,363.4837293,12.0275,16.0225,0.82,47.06900602,47,199.9996624,0.95,10,,1010.920418,0,,1177.437045,,0.000355391,0.5221,0,828.9547431,882.0151377,12.07605361,,0,2.940050459,582.0151377,7.77543804,5.696812548,8.05888697,46.98730101,,47,,200,,,,,,2
23,15,0.2,1633.045934,341.4601269,363.4837293,0.001,0.001,0.82,47.05266502,47,199.9996801,0.95,10.2,,2800,0,,2966.516271,,0,0.5221,0,2296,882.0151377,-1454.969203,,0,2.940050459,582.0151377,7.77543804,5.696812548,8.05888697,51.16253189,,47,,199.9996801,,,,,,2
24,15,0.7,1633.045934,341.4601269,363.4837293,12.0275,16.0225,0.82,49.10759845,47,199.9996801,0.95,10.7,,1079.753824,0,,1246.270095,,0,0.5221,0,885.3981357,882.0151377,-44.367339,,0,2.940050459,582.0151377,7.77543804,5.696812548,8.05888697,49.18541291,,47,,199.9996801,,,,,,2
25,16,0,1684.762583,335.3907021,123.8984325,12.0275,16.0225,0.82,49.13094279,47,199.9996801,0.95,11,,2365.488144,0,,2771.590048,,0.000336754,0.5221,0,1939.700278,879.8289309,-1044.766625,,0,2.932763103,579.8289309,7.715162143,5.644344532,7.997546362,52.06616377,,47,,200,,,,,,2
26,16,0.5,1284.762583,235.3907021,123.8984325,12.0275,16.0225,0.82,50.59855328,47,199.9997204,0.95,11.5,,2286.650669,0,,2392.752237,,0,0.5221,0,1875.053549,0,-500.2909653,,0,2.976350596,0,8.07568731,8.07568731,8.07568731,51.97687156,,47,,199.9997204,,,,,,2
27,17,0,1299.594796,229.897684,6.142708372,12.0275,16.0225,0.82,51.28771242,47,199.9997204,0.95,11.5,,2231.331028,0,,2755.188614,,0.000294336,0.5221,0,1829.691443,877.8903197,-1317.986967,,0,2.926301066,577.8903197,7.661712702,5.597818703,7.943152793,55,,47,,200,,,,,,2
28,18,0,1970.765736,235.996305,0,12.0275,16.0225,0.82,55,47,199.999784,0.95,12.5,,239.2596997,469.2596997,,0,,0,0.8439,625.1268791,196.1929538,0,1239.445903,,39.01556431,2.963788555,0,7.971782922,7.971782922,7.971782922,51.40044028,,47,,199.999784,,,,,,1
29,19,0,1839.532988,241.0563817,0,12.0275,16.0225,0.82,51.40044028,47,199.999784,0.95,12.5,,439.222748,600,,0,,-69.22274804,0.8439,799.2932862,360.1626534,0,770.0770483,,49.88567865,2.967809916,0,8.005044795,8.005044795,8.005044795,49.14330547,,47,,127.1337334,,,,,,1
30,20,0,1931.826279,243.218455,0,12.0275,16.0225,0.82,49.14330547,47,127.1347334,0.95,12.5,,24.83621791,554.8362179,,0,,0,0.8439,739.1281065,20.36569869,887.2540159,375.0784581,,46.13063545,2.957513386,587.2540159,7.919879126,5.822543355,8.205879458,48.01581562,,47,,127.1347334,,,,,,2
31,21,0,1809.256728,240.2197683,0,12.0275,16.0225,0.82,48.01581562,47,127.1347334,0.95,13.5,,63.07208201,593.072082,,0,,0,0.8439,790.0642223,51.71910725,879.7056656,177.7677332,,49.30967217,2.932352219,579.7056656,7.711763594,5.641386217,7.994087782,47.45132282,,47,,127.1347334,,,,,,1
32,22,0,1919.656292,245.3787433,0,12.0275,16.0225,0.82,47.45132282,47,127.1347334,0.95,14.5,,311.4206598,600,,120.642663,,-120.7779967,0.8439,799.2932862,255.364941,876.0165709,78.98149427,,49.88567865,2.920055236,576.0165709,7.610051583,5.552849544,7.890579134,47.16870314,,47,,0,,,,,,2
33,23,0,1913.938796,287.478715,0,12.0275,16.0225,0.82,47.16870314,47,0.001,0.95,15.5,,2407.824082,0,,2677.823132,,-0.00095,0.2003,0,1974.415747,0,29.52304871,,0,2.954929401,0,7.898506216,7.898506216,7.898506216,47.02677839,,47,,0,,,,,,1
